trade_id,trade_type,entry_price,exit_price,Result
TRD0054,long,6.51,6.05,Loss
TRD0128,short,2.84,10.0,Loss
TRD0161,short,4.2,5.93,Loss
TRD0176,long,8.21,1.92,Loss
TRD0179,short,4.03,9.38,Loss
TRD0008,long,7.79,9.7,Profit
TRD0014,short,1.13,2.93,Loss
TRD0034,short,3.52,5.4,Loss
TRD0044,short,2.83,1.95,Profit
TRD0085,short,6.16,5.52,Profit
TRD0090,short,7.64,2.76,Profit
TRD0140,short,6.61,6.77,Loss
TRD0174,long,2.57,2.19,Loss
TRD0002,long,1.04,4.15,Profit
TRD0015,short,4.06,6.4,Loss
TRD0081,short,5.27,2.71,Profit
TRD0114,short,8.68,7.17,Profit
TRD0124,long,7.68,3.2,Loss
TRD0141,long,4.41,8.97,Profit
TRD0191,short,4.45,8.87,Loss
TRD0033,long,6.56,4.54,Loss
TRD0094,long,9.21,8.57,Loss
TRD0099,long,7.66,9.29,Profit
TRD0112,short,7.69,9.74,Loss
TRD0171,long,5.85,9.12,Profit
TRD0060,short,2.18,8.1,Loss
TRD0063,long,6.86,6.36,Loss
TRD0127,short,8.1,1.32,Profit
TRD0152,short,6.57,3.99,Profit
TRD0178,long,3.63,2.3,Loss
TRD0053,short,3.89,10.0,Loss
TRD0113,long,2.38,3.53,Profit
TRD0136,long,5.1,8.1,Profit
TRD0142,short,6.38,8.64,Loss
TRD0177,short,8.66,2.92,Profit
TRD0007,short,9.37,6.8,Profit
TRD0108,short,1.25,4.62,Loss
TRD0134,short,7.46,7.13,Profit
TRD0187,short,2.57,5.21,Loss
TRD0020,long,7.07,1.15,Loss
TRD0069,short,6.7,9.17,Loss
TRD0154,short,6.79,5.67,Profit
TRD0173,short,5.81,5.6,Profit
TRD0190,long,4.32,9.02,Profit
TRD0026,short,6.74,5.02,Profit
TRD0059,short,9.62,9.47,Profit
TRD0104,short,6.98,3.83,Profit
TRD0118,short,8.74,5.5,Profit
TRD0098,short,3.19,6.38,Loss
TRD0101,long,4.17,1.21,Loss
TRD0130,short,1.81,5.69,Loss
TRD0155,short,3.46,7.19,Loss
TRD0168,long,6.4,1.15,Loss
TRD0169,long,3.2,6.44,Profit
TRD0057,short,1.97,2.26,Loss
TRD0121,long,7.48,1.34,Loss
TRD0135,short,4.7,3.26,Profit
TRD0061,short,3.71,4.31,Loss
TRD0097,long,8.31,5.86,Loss
TRD0038,long,1.03,6.85,Profit
TRD0045,long,4.38,3.53,Loss
TRD0185,short,2.33,7.55,Loss
TRD0199,short,8.3,2.25,Profit
TRD0010,short,5.42,5.96,Loss
TRD0115,long,2.61,7.94,Profit
TRD0024,long,7.44,4.9,Loss
TRD0030,short,8.13,4.03,Profit
TRD0065,short,2.93,7.93,Loss
TRD0091,short,8.77,5.46,Profit
TRD0184,short,9.97,6.37,Profit
TRD0186,short,3.4,1.02,Profit
TRD0071,short,2.72,8.89,Loss
TRD0110,long,6.41,4.51,Loss
TRD0129,short,8.34,4.37,Profit
TRD0084,long,4.46,7.19,Profit
TRD0195,long,8.66,4.31,Loss
TRD0062,long,1.63,9.07,Profit
TRD0087,short,8.03,5.93,Profit
TRD0131,short,2.79,6.56,Loss
TRD0144,short,8.82,5.7,Profit
TRD0086,long,1.28,8.7,Profit
TRD0103,short,2.16,7.13,Loss
TRD0039,long,9.79,7.1,Loss
TRD0041,short,7.78,2.34,Profit
TRD0056,long,4.12,4.63,Profit
TRD0160,long,9.38,1.45,Loss
TRD0043,long,5.04,3.17,Loss
TRD0067,long,8.45,6.8,Loss
TRD0116,short,9.23,3.7,Profit
TRD0120,long,1.73,5.04,Profit
TRD0023,short,2.05,1.54,Profit
TRD0089,short,6.55,1.43,Profit
TRD0139,long,5.42,1.18,Loss
TRD0166,long,1.73,1.87,Profit
TRD0164,long,9.53,2.64,Loss
TRD0192,short,4.64,5.38,Loss
TRD0132,long,9.74,6.21,Loss
TRD0145,long,2.74,6.88,Profit
TRD0163,long,5.47,3.34,Loss
TRD0009,long,1.75,1.11,Loss
TRD0078,long,8.67,4.16,Loss
TRD0019,short,6.93,4.86,Profit
TRD0027,long,8.68,4.26,Loss
TRD0106,short,9.64,6.55,Profit
TRD0018,long,4.97,5.67,Profit
TRD0100,long,2.75,7.54,Profit
TRD0126,short,9.7,8.18,Profit
TRD0013,long,8.0,7.74,Loss
TRD0052,long,4.74,3.72,Loss
TRD0077,long,3.6,9.86,Profit
TRD0119,short,6.84,8.64,Loss
TRD0125,long,2.55,6.97,Profit
TRD0170,long,4.1,7.25,Profit
TRD0188,long,9.31,1.26,Loss
TRD0042,long,8.84,9.69,Profit
TRD0083,short,8.04,4.79,Profit
TRD0092,short,3.89,8.63,Loss
TRD0138,short,1.33,2.3,Loss
TRD0148,long,5.74,8.57,Profit
TRD0151,short,8.81,7.5,Profit
TRD0189,short,5.98,1.05,Profit
TRD0017,short,8.85,8.78,Profit
TRD0181,long,7.17,9.21,Profit
TRD0193,long,5.18,1.9,Loss
TRD0004,long,6.52,7.06,Profit
TRD0029,short,3.26,9.44,Loss
TRD0031,long,8.23,8.52,Profit
TRD0035,short,9.64,8.52,Profit
TRD0036,long,2.99,9.31,Profit
TRD0046,long,9.64,4.76,Loss
TRD0048,short,9.01,6.37,Profit
TRD0075,long,3.43,8.99,Profit
TRD0096,long,7.07,8.5,Profit
TRD0109,long,6.92,6.17,Loss
TRD0111,long,6.6,1.43,Loss
TRD0070,short,3.27,2.76,Profit
TRD0072,short,6.64,5.35,Profit
TRD0080,short,3.3,4.25,Loss
TRD0095,long,8.12,3.28,Loss
TRD0102,short,9.53,2.35,Profit
TRD0117,short,7.46,6.39,Profit
TRD0147,short,4.89,7.95,Loss
TRD0162,short,5.16,8.61,Loss
TRD0165,long,3.94,2.21,Loss
TRD0025,short,4.53,6.4,Loss
TRD0055,long,5.59,6.68,Profit
TRD0107,long,7.62,1.65,Loss
TRD0122,short,5.75,3.62,Profit
TRD0143,short,3.95,2.18,Profit
TRD0006,long,8.28,8.29,Profit
TRD0073,short,4.64,2.73,Profit
TRD0093,short,2.68,6.5,Loss
TRD0167,short,6.77,2.95,Profit
TRD0200,long,3.43,2.67,Loss
TRD0011,short,1.72,7.19,Loss
TRD0028,long,3.6,8.75,Profit
TRD0146,short,6.0,2.03,Profit
TRD0183,short,8.01,5.27,Profit
TRD0198,long,8.24,2.13,Loss
TRD0049,short,9.53,9.98,Loss
TRD0068,long,7.44,9.22,Profit
TRD0159,long,5.74,4.79,Loss
TRD0016,short,3.84,4.09,Loss
TRD0037,short,7.11,6.65,Profit
TRD0047,long,9.83,3.75,Loss
TRD0105,short,4.86,9.22,Loss
TRD0133,long,1.27,5.89,Profit
TRD0158,long,8.52,6.3,Loss
TRD0172,short,6.21,5.82,Profit
TRD0064,short,5.08,8.98,Loss
TRD0079,short,9.87,5.23,Profit
TRD0150,short,3.61,1.56,Profit
TRD0182,short,4.49,8.77,Loss
TRD0021,long,3.25,5.86,Profit
TRD0051,short,3.41,3.3,Profit
TRD0066,long,4.3,6.34,Profit
TRD0175,long,1.79,3.83,Profit
TRD0032,long,3.43,4.65,Profit
TRD0058,short,5.73,7.14,Loss
TRD0074,long,3.25,5.0,Profit
TRD0076,long,2.14,6.29,Profit
TRD0088,long,2.84,1.45,Loss
TRD0137,short,1.67,5.48,Loss
TRD0197,long,7.13,3.69,Loss
TRD0001,long,2.04,6.12,Profit
TRD0022,long,5.26,5.84,Profit
TRD0050,short,9.52,6.65,Profit
TRD0149,short,5.75,3.69,Profit
TRD0156,short,1.49,6.4,Loss
TRD0003,short,3.71,8.02,Loss
TRD0005,short,9.05,1.63,Profit
TRD0012,short,1.22,3.73,Loss
TRD0040,short,1.38,5.89,Loss
TRD0082,short,7.39,6.89,Profit
TRD0123,long,9.63,8.75,Loss
TRD0153,long,5.62,1.39,Loss
TRD0180,short,5.78,5.94,Loss
TRD0157,long,2.31,4.96,Profit
TRD0194,short,9.16,5.19,Profit
TRD0196,short,2.94,4.25,Loss
